| Epoch: 6/2390 (408/408) | Loss: 6.3073 | 0.5 steps/s | Step: 27k | 
| Epoch: 7/2390 (408/408) | Loss: 6.6359 | 0.5 steps/s | Step: 27k | 
| Epoch: 8/2390 (408/408) | Loss: 6.3274 | 0.4 steps/s | Step: 28k | 
| Epoch: 9/2390 (408/408) | Loss: 6.2941 | 0.4 steps/s | Step: 28k | 
| Epoch: 10/2390 (408/408) | Loss: 6.2799 | 0.4 steps/s | Step: 28k | 
| Epoch: 11/2390 (408/408) | Loss: 6.1000 | 0.4 steps/s | Step: 29k | 
| Epoch: 12/2390 (408/408) | Loss: 6.2109 | 0.4 steps/s | Step: 29k | 
| Epoch: 13/2390 (408/408) | Loss: 6.2427 | 0.4 steps/s | Step: 30k | 
| Epoch: 14/2390 (408/408) | Loss: 6.2401 | 0.6 steps/s | Step: 30k | 
| Epoch: 15/2390 (408/408) | Loss: 6.2278 | 0.5 steps/s | Step: 31k | 
| Epoch: 16/2390 (408/408) | Loss: 6.2191 | 0.5 steps/s | Step: 31k | 
| Epoch: 17/2390 (408/408) | Loss: 6.2149 | 0.5 steps/s | Step: 31k | 
| Epoch: 18/2390 (408/408) | Loss: 6.4341 | 0.4 steps/s | Step: 32k | 
| Epoch: 19/2390 (408/408) | Loss: 6.1087 | 0.4 steps/s | Step: 32k | 
| Epoch: 20/2390 (408/408) | Loss: 6.5020 | 0.4 steps/s | Step: 33k | 
| Epoch: 21/2390 (408/408) | Loss: 6.0939 | 0.5 steps/s | Step: 33k | 
| Epoch: 22/2390 (408/408) | Loss: 6.0570 | 0.4 steps/s | Step: 33k | 
| Epoch: 23/2390 (408/408) | Loss: 6.0366 | 0.4 steps/s | Step: 34k | 
| Epoch: 24/2390 (408/408) | Loss: 6.0389 | 0.4 steps/s | Step: 34k | 
| Epoch: 25/2390 (408/408) | Loss: 6.2210 | 0.4 steps/s | Step: 35k | 
| Epoch: 26/2390 (408/408) | Loss: 6.4887 | 0.4 steps/s | Step: 35k | 
| Epoch: 27/2390 (408/408) | Loss: 6.1873 | 0.4 steps/s | Step: 35k | 
| Epoch: 28/2390 (408/408) | Loss: 6.1731 | 0.4 steps/s | Step: 36k | 
| Epoch: 29/2390 (408/408) | Loss: 6.1571 | 0.4 steps/s | Step: 36k | 
| Epoch: 30/2390 (408/408) | Loss: 6.2664 | 0.4 steps/s | Step: 37k | 
| Epoch: 31/2390 (408/408) | Loss: 6.0986 | 0.4 steps/s | Step: 37k | 
| Epoch: 32/2390 (408/408) | Loss: 5.9681 | 0.4 steps/s | Step: 37k | 
| Epoch: 33/2390 (408/408) | Loss: 5.9858 | 0.4 steps/s | Step: 38k | 
| Epoch: 34/2390 (408/408) | Loss: 5.9819 | 0.4 steps/s | Step: 38k | 
| Epoch: 35/2390 (408/408) | Loss: 5.9706 | 0.5 steps/s | Step: 39k | 
| Epoch: 36/2390 (408/408) | Loss: 6.2928 | 0.5 steps/s | Step: 39k | 
| Epoch: 37/2390 (408/408) | Loss: 6.0560 | 0.4 steps/s | Step: 39k | 
| Epoch: 38/2390 (408/408) | Loss: 5.9612 | 0.4 steps/s | Step: 40k | 
| Epoch: 39/2390 (408/408) | Loss: 5.9829 | 0.4 steps/s | Step: 40k | 
| Epoch: 40/2390 (408/408) | Loss: 5.9684 | 0.4 steps/s | Step: 41k | 
| Epoch: 41/2390 (408/408) | Loss: 6.0419 | 0.5 steps/s | Step: 41k | 
| Epoch: 42/2390 (408/408) | Loss: 5.9567 | 0.5 steps/s | Step: 42k | 
| Epoch: 43/2390 (408/408) | Loss: 5.9625 | 0.5 steps/s | Step: 42k | 
| Epoch: 44/2390 (408/408) | Loss: 6.0783 | 0.5 steps/s | Step: 42k | 
| Epoch: 45/2390 (408/408) | Loss: 6.1233 | 0.5 steps/s | Step: 43k | 
| Epoch: 46/2390 (408/408) | Loss: 6.0549 | 0.5 steps/s | Step: 43k | 
| Epoch: 47/2390 (408/408) | Loss: 6.3290 | 0.5 steps/s | Step: 44k | 
| Epoch: 48/2390 (408/408) | Loss: 6.2095 | 0.5 steps/s | Step: 44k | 
| Epoch: 49/2390 (408/408) | Loss: 6.0609 | 0.5 steps/s | Step: 44k | 
| Epoch: 50/2390 (408/408) | Loss: 6.0878 | 0.5 steps/s | Step: 45k | 
| Epoch: 51/2390 (408/408) | Loss: 6.0236 | 0.5 steps/s | Step: 45k | 
| Epoch: 52/2390 (408/408) | Loss: 5.8926 | 0.5 steps/s | Step: 46k | 
| Epoch: 53/2390 (408/408) | Loss: 6.0526 | 0.5 steps/s | Step: 46k | 
| Epoch: 54/2390 (408/408) | Loss: 6.0291 | 0.5 steps/s | Step: 46k | 
| Epoch: 55/2390 (408/408) | Loss: 6.1513 | 0.5 steps/s | Step: 47k | 
| Epoch: 56/2390 (408/408) | Loss: 6.2000 | 0.6 steps/s | Step: 47k | 
| Epoch: 57/2390 (408/408) | Loss: 6.1603 | 0.5 steps/s | Step: 48k | 
| Epoch: 58/2390 (408/408) | Loss: 6.0109 | 0.5 steps/s | Step: 48k | 
| Epoch: 59/2390 (408/408) | Loss: 6.0366 | 0.6 steps/s | Step: 48k | 
| Epoch: 60/2390 (408/408) | Loss: 6.0812 | 0.6 steps/s | Step: 49k | 
| Epoch: 61/2390 (408/408) | Loss: 6.0284 | 0.6 steps/s | Step: 49k | 
| Epoch: 62/2390 (408/408) | Loss: 6.0111 | 0.5 steps/s | Step: 50k | 
| Epoch: 63/2390 (408/408) | Loss: 5.8626 | 0.6 steps/s | Step: 50k | 
| Epoch: 64/2390 (408/408) | Loss: 5.8683 | 0.6 steps/s | Step: 51k | 
| Epoch: 65/2390 (408/408) | Loss: 5.8624 | 0.6 steps/s | Step: 51k | 
| Epoch: 66/2390 (408/408) | Loss: 6.2054 | 0.6 steps/s | Step: 51k | 
| Epoch: 67/2390 (408/408) | Loss: 5.8994 | 0.6 steps/s | Step: 52k | 
| Epoch: 68/2390 (408/408) | Loss: 6.0025 | 0.6 steps/s | Step: 52k | 
| Epoch: 69/2390 (408/408) | Loss: 5.9898 | 0.6 steps/s | Step: 53k | 
| Epoch: 70/2390 (408/408) | Loss: 5.9700 | 0.6 steps/s | Step: 53k | 
| Epoch: 71/2390 (408/408) | Loss: 5.9986 | 0.6 steps/s | Step: 53k | 
| Epoch: 72/2390 (408/408) | Loss: 5.9977 | 0.6 steps/s | Step: 54k | 
| Epoch: 73/2390 (408/408) | Loss: 5.7989 | 0.6 steps/s | Step: 54k | 
| Epoch: 74/2390 (408/408) | Loss: 6.0057 | 0.6 steps/s | Step: 55k | 
| Epoch: 75/2390 (408/408) | Loss: 5.9648 | 0.6 steps/s | Step: 55k | 
| Epoch: 76/2390 (408/408) | Loss: 5.9824 | 0.6 steps/s | Step: 55k | 
| Epoch: 77/2390 (408/408) | Loss: 6.0970 | 0.6 steps/s | Step: 56k | 
| Epoch: 78/2390 (408/408) | Loss: 6.1181 | 0.6 steps/s | Step: 56k | 
| Epoch: 79/2390 (408/408) | Loss: 6.1651 | 0.6 steps/s | Step: 57k | 
| Epoch: 80/2390 (408/408) | Loss: 6.0933 | 0.6 steps/s | Step: 57k | 
| Epoch: 81/2390 (408/408) | Loss: 5.9263 | 0.6 steps/s | Step: 57k | 
| Epoch: 82/2390 (408/408) | Loss: 6.0589 | 0.6 steps/s | Step: 58k | 
| Epoch: 83/2390 (408/408) | Loss: 5.9636 | 0.6 steps/s | Step: 58k | 
| Epoch: 84/2390 (408/408) | Loss: 5.8014 | 0.6 steps/s | Step: 59k | 
| Epoch: 85/2390 (408/408) | Loss: 5.8030 | 0.6 steps/s | Step: 59k | 
| Epoch: 86/2390 (408/408) | Loss: 5.8032 | 0.6 steps/s | Step: 59k | 
| Epoch: 87/2390 (408/408) | Loss: 5.9801 | 0.6 steps/s | Step: 60k | 
| Epoch: 88/2390 (408/408) | Loss: 6.2954 | 0.6 steps/s | Step: 60k | 
| Epoch: 89/2390 (408/408) | Loss: 5.8974 | 0.6 steps/s | Step: 61k | 
| Epoch: 90/2390 (408/408) | Loss: 5.7992 | 0.6 steps/s | Step: 61k | 
| Epoch: 91/2390 (408/408) | Loss: 5.7904 | 0.6 steps/s | Step: 62k | 
| Epoch: 92/2390 (408/408) | Loss: 5.8389 | 0.6 steps/s | Step: 62k | 
| Epoch: 93/2390 (408/408) | Loss: 5.9762 | 0.6 steps/s | Step: 62k | 
| Epoch: 94/2390 (408/408) | Loss: 5.9179 | 0.6 steps/s | Step: 63k | 
| Epoch: 95/2390 (408/408) | Loss: 5.9138 | 0.6 steps/s | Step: 63k | 
| Epoch: 96/2390 (408/408) | Loss: 6.0481 | 0.6 steps/s | Step: 64k | 
| Epoch: 97/2390 (408/408) | Loss: 5.9113 | 0.6 steps/s | Step: 64k | 
